crop_name,seed_name,rainfall,soil,irrigation,sowing_time,maturity_time,seed_rate,avg_yeild,fertilizer,pesticide,location,special_feature,
Arecanuts,Mohitnagar,"Grown in areas receiving annual rainfall of 750 mm in Maidan parts of Karnataka to 4,500 mm ",The depth of soil should be at least 1 m with 4.5-7.6 pH., The average CWR is observed to vary from 19 to 23 litres/day for juvenile to adult arecanut crop.,"They are irrigated once in 7 days during November-December, every six days during February and every four days during March-May. ",It starts bearing after 6-7 years of planting.,Average of 550 to 600 arecanut trees in one acre of land.,It yielded 3.7 kg. chali (19.5 Kg. ripe nuts) per palm per year.," A fertilizer dose of 100g N, 40g P2O2 and 140g K2O (200g of urea; 200g of rock phosphate and 230 g of muriate of Potash) per palm per year is recommended.","Pesticide required for arecanut Annual application of 100 g N (220 g urea), 40 g P2O5 (200 g rock phosphate) and 140 g K2O (235 g muriate of potash) in addition to 12 kg each of green leaf and compost per palm per year is recommended. ", It is largely grown in South Kanara district of Karnataka," This Areca nuts are chewed with betel leaf for their effects as a mild stimulant, causing a warming sensation in the body ",
Arecanuts,Mangala (VTL - 3),"Grown in areas receiving annual rainfall of 750 mm in Maidan parts of Karnataka to 4,500 mm ",The depth of soil should be at least 1 m with 4.5-7.6 pH., The average CWR is observed to vary from 19 to 23 litres/day for juvenile to adult arecanut crop.,"They are irrigated once in 7 days during November-December, every six days during February and every four days during March-May. ",Bearing starts after 3-5 years of planting.,Average of 550 to 600 arecanut trees in one acre of land.,Its mean yield is 2 kg. chali (10 Kg ripe nuts) per palm per year.," A fertilizer dose of 100g N, 40g P2O2 and 140g K2O (200g of urea; 200g of rock phosphate and 230 g of muriate of Potash) per palm per year is recommended.","Pesticide required for arecanut Annual application of 100 g N (220 g urea), 40 g P2O5 (200 g rock phosphate) and 140 g K2O (235 g muriate of potash) in addition to 12 kg each of green leaf and compost per palm per year is recommended. ", It is largely grown in South Kanara district of Karnataka," This Areca nuts are chewed with betel leaf for their effects as a mild stimulant, causing a warming sensation in the body ",
Arecanuts,Sumanagala ( VTL-11),"Grown in areas receiving annual rainfall of 750 mm in Maidan parts of Karnataka to 4,500 mm ",The depth of soil should be at least 1 m with 4.5-7.6 pH., The average CWR is observed to vary from 19 to 23 litres/day for juvenile to adult arecanut crop.,"They are irrigated once in 7 days during November-December, every six days during February and every four days during March-May. ",Bearing starts after 3-5 years of planting.,Average of 550 to 600 arecanut trees in one acre of land.,"Its mean yield is 33 Kg., Challi (17:5 Kg rupee nuts) /palm /year. "," A fertilizer dose of 100g N, 40g P2O2 and 140g K2O (200g of urea; 200g of rock phosphate and 230 g of muriate of Potash) per palm per year is recommended.","Pesticide required for arecanut Annual application of 100 g N (220 g urea), 40 g P2O5 (200 g rock phosphate) and 140 g K2O (235 g muriate of potash) in addition to 12 kg each of green leaf and compost per palm per year is recommended. ", It is largely grown in South Kanara district of Karnataka," This Areca nuts are chewed with betel leaf for their effects as a mild stimulant, causing a warming sensation in the body ",
Chillies,BYADAGI (KADDI),It is grown in areas receiving an annual precipitation of 25-30 inches.,"It is grown in all type of soft but the sandy - loam, clay loam and loam soils are best suited for it",Water requirement of 400 mm to 600 mm.,"The sowing time is between Kharif (Rainfed) - June – July, Rabi (Irrigated) - Aug – Sept, Summer (Irrigated) - Feb. – March",Time taken to mature is 60 to 120 days,Seed requirement is 1.5 kg seed/ha.,Average yields is around 5.13 t/ha.,Nitrogen requirement for chillies is 120 kg/ha.,Metam potassium are used as pesticide.,It is grown all around Kranataka.,Commercial importance for powdering and culinary, 
Chillies,Sanke- shwar,It is grown in areas receiving an annual precipitation of 25-30 inches.,"It is grown in all type of soft but the sandy - loam, clay loam and loam soils are best suited for it",Water requirement of 400 mm to 600 mm.,"The sowing time is between Kharif (Rainfed) - June – July, Rabi (Irrigated) - Aug – Sept, Summer (Irrigated) - Feb. – March",Time taken to mature is 60 to 120 days,Seed requirement is 1.5 kg seed/ha.,Average yields is around 5.13 t/ha.,Nitrogen requirement for chillies is 120 kg/ha.,Metam potassium are used as pesticide.,It is grown all around Kranataka.,Commercial importance for powdering and culinary,
Chillies,(Dabbi),It is grown in areas receiving an annual precipitation of 25-30 inches.,"It is grown in all type of soft but the sandy - loam, clay loam and loam soils are best suited for it",Water requirement of 400 mm to 600 mm.,"The sowing time is between Kharif (Rainfed) - June – July, Rabi (Irrigated) - Aug – Sept, Summer (Irrigated) - Feb. – March",Time taken to mature is 60 to 120 days,Seed requirement is 1.5 kg seed/ha.,Average yields is around 5.13 t/ha.,Nitrogen requirement for chillies is 120 kg/ha.,Metam potassium are used as pesticide.,It is grown all around Kranataka.,Commercial importance for powdering and culinary,
Chillies,Arsikere Gowrib-idanur,It is grown in areas receiving an annual precipitation of 25-30 inches.,"It is grown in all type of soft but the sandy - loam, clay loam and loam soils are best suited for it",Water requirement of 400 mm to 600 mm.,"The sowing time is between Kharif (Rainfed) - June – July, Rabi (Irrigated) - Aug – Sept, Summer (Irrigated) - Feb. – March",Time taken to mature is 60 to 120 days,Seed requirement is 1.5 kg seed/ha.,Average yields is around 5.13 t/ha.,Nitrogen requirement for chillies is 120 kg/ha.,Metam potassium are used as pesticide.,It is grown all around Kranataka.,Commercial importance for powdering and culinary,
Chillies,Kollega lJavari,It is grown in areas receiving an annual precipitation of 25-30 inches.,"It is grown in all type of soft but the sandy - loam, clay loam and loam soils are best suited for it",Water requirement of 400 mm to 600 mm.,"The sowing time is between Kharif (Rainfed) - June – July, Rabi (Irrigated) - Aug – Sept, Summer (Irrigated) - Feb. – March",Time taken to mature is 60 to 120 days,Seed requirement is 1.5 kg seed/ha.,Average yields is around 5.13 t/ha.,Nitrogen requirement for chillies is 120 kg/ha.,Metam potassium are used as pesticide.,It is grown all around Kranataka.,Commercial importance for powdering and culinary,
Cotton,Abhadita,Annual rainfall of 55-100 cm is ideal for cotton Cultivation,This cotton is suitable for Red soil and Black cotton soil.,Individual cotton plant requires about 10 gallons of water to achieve maximum yield potential. ,The sowing time is between  July -September or February - March,Time taken to mature is  approximately 150 to 180 days,On average 90.000-100.000 plants per hectare.,The cotton productivity was 250 Kgs per hectare.,"In Karnataka entire NPK at planting ( rain fed cotton ), Half N and entire P & K planting, remaining N at flowering (irrigated cotton ) N in 4 splits in irrigated hybrid cotton.","Cotton growers typically use many of the most hazardous pesticides on the market including aldicarb, phorate, methamidophos and endosulfan.","High yielding varieties are cultivated in the districts like Raichur, Bagalkot, Bijapur, Bellaiy, Dharwad and Belgaum under irrigated conditions."," For the cotton plant to be able to grow, it needs a warm climate with very wet periods followed by very dry ones, as the latter are necessary for it to ripen.",
Cotton,Laxmi,Annual rainfall of 55-100 cm is ideal for cotton Cultivation,This cotton is suitable for Red soil and Black cotton soil.,Individual cotton plant requires about 10 gallons of water to achieve maximum yield potential. ,The sowing time is between  July -September or February - March,Time taken to mature is approximately 150 to 180 days,On average 90.000-100.000 plants per hectare.,The cotton productivity was 250 Kgs per hectare.,"In Karnataka entire NPK at planting ( rain fed cotton ), Half N and entire P & K planting, remaining N at flowering (irrigated cotton ) N in 4 splits in irrigated hybrid cotton.","Cotton growers typically use many of the most hazardous pesticides on the market including aldicarb, phorate, methamidophos and endosulfan.","High yielding varieties are cultivated in the districts like Raichur, Bagalkot, Bijapur, Bellaiy, Dharwad and Belgaum under irrigated conditions."," For the cotton plant to be able to grow, it needs a warm climate with very wet periods followed by very dry ones, as the latter are necessary for it to ripen.",
Cotton,LRA-5166,Annual rainfall of 55-100 cm is ideal for cotton Cultivation,This cotton is suitable for Red soil and Black cotton soil.,Individual cotton plant requires about 10 gallons of water to achieve maximum yield potential. ,The sowing time is between  July -September or February - March,Time taken to mature is  approximately 150 to 180 days,On average 90.000-100.000 plants per hectare.,The cotton productivity was 250 Kgs per hectare.,"In Karnataka entire NPK at planting ( rain fed cotton ), Half N and entire P & K planting, remaining N at flowering (irrigated cotton ) N in 4 splits in irrigated hybrid cotton.","Cotton growers typically use many of the most hazardous pesticides on the market including aldicarb, phorate, methamidophos and endosulfan.","High yielding varieties are cultivated in the districts like Raichur, Bagalkot, Bijapur, Bellaiy, Dharwad and Belgaum under irrigated conditions."," For the cotton plant to be able to grow, it needs a warm climate with very wet periods followed by very dry ones, as the latter are necessary for it to ripen.",
Cotton,NHH-44,Annual rainfall of 55-100 cm is ideal for cotton Cultivation,This cotton is suitable for Red soil and Black cotton soil.,Individual cotton plant requires about 10 gallons of water to achieve maximum yield potential. ,The sowing time is between  July -September or February - March,Time taken to mature is approximately 150 to 180 days,On average 90.000-100.000 plants per hectare.,The cotton productivity was 250 Kgs per hectare.,"In Karnataka entire NPK at planting ( rain fed cotton ), Half N and entire P & K planting, remaining N at flowering (irrigated cotton ) N in 4 splits in irrigated hybrid cotton.","Cotton growers typically use many of the most hazardous pesticides on the market including aldicarb, phorate, methamidophos and endosulfan.","High yielding varieties are cultivated in the districts like Raichur, Bagalkot, Bijapur, Bellaiy, Dharwad and Belgaum under irrigated conditions."," For the cotton plant to be able to grow, it needs a warm climate with very wet periods followed by very dry ones, as the latter are necessary for it to ripen.",
Cotton,DCH-32,Annual rainfall of 55-100 cm is ideal for cotton Cultivation,This cotton is suitable for Red soil and Black cotton soil.,Individual cotton plant requires about 10 gallons of water to achieve maximum yield potential. ,The sowing time is between  July -September or February - March,Time taken to mature is approximately 150 to 180 days,On average 90.000-100.000 plants per hectare.,The cotton productivity was 250 Kgs per hectare.,"In Karnataka entire NPK at planting ( rain fed cotton ), Half N and entire P & K planting, remaining N at flowering (irrigated cotton ) N in 4 splits in irrigated hybrid cotton.","Cotton growers typically use many of the most hazardous pesticides on the market including aldicarb, phorate, methamidophos and endosulfan.","High yielding varieties are cultivated in the districts like Raichur, Bagalkot, Bijapur, Bellaiy, Dharwad and Belgaum under irrigated conditions."," For the cotton plant to be able to grow, it needs a warm climate with very wet periods followed by very dry ones, as the latter are necessary for it to ripen.",
Sugarcane,Co 8371,Rainfall: 100 cm to 175 cm rainfall is ideal for sugarcane production," It grows well in deep, well-drained soils of medium fertility of sandy loam soil textures with a pH range from 6.0 to 7.7.",A crop requires 1500- 2500 mm of available water per year, In general January to march is the period of planting , It takes about 12 to 18 months to mature.,"On an average 36,000 three budded setts or 60 quintal of seed are sufficient for planting one hectare land area.",The average yield of cane stalk is 60–70 tonnes per hectare,Apply P fertilizer based on soil test values. Otherwise apply super phosphate (375 kg/ha) along the furrows and incorporate with hand hoe., The insecticides acetamiprid and cypermethrin were used to manage aphids while four different insecticides controlled thrips. .,"Most of the sugarcane is grown with the help of irrigation. Belgaum, Mandya, Mysore, Bijapur,Shimoga and Chitradurga are important producing districts.",The plant is two to six metres (six to twenty feet) tall. All sugar cane species can interbreed and the major commercial cultivars are complex hybrids. ,
Sugarcane,C0 7804,Rainfall: 100 cm to 175 cm rainfall is ideal for sugarcane production," It grows well in deep, well-drained soils of medium fertility of sandy loam soil textures with a pH range from 6.0 to 7.7.",A crop requires 1500- 2500 mm of available water per year, In general January to march is the period of planting , It takes about 12 to 18 months to mature.,"On an average 36,000 three budded setts or 60 quintal of seed are sufficient for planting one hectare land area.",The average yield of cane stalk is 60–70 tonnes per hectare,Apply P fertilizer based on soil test values. Otherwise apply super phosphate (375 kg/ha) along the furrows and incorporate with hand hoe., The insecticides acetamiprid and cypermethrin were used to manage aphids while four different insecticides controlled thrips. .,"Most of the sugarcane is grown with the help of irrigation. Belgaum, Mandya, Mysore, Bijapur,Shimoga and Chitradurga are important producing districts.",The plant is two to six metres (six to twenty feet) tall. All sugar cane species can interbreed and the major commercial cultivars are complex hybrids. ,
Sugarcane,CoC 671,Rainfall: 100 cm to 175 cm rainfall is ideal for sugarcane production," It grows well in deep, well-drained soils of medium fertility of sandy loam soil textures with a pH range from 6.0 to 7.7.",A crop requires 1500- 2500 mm of available water per year, In general January to march is the period of planting , It takes about 12 to 18 months to mature.,"On an average 36,000 three budded setts or 60 quintal of seed are sufficient for planting one hectare land area.",The average yield of cane stalk is 60–70 tonnes per hectare,Apply P fertilizer based on soil test values. Otherwise apply super phosphate (375 kg/ha) along the furrows and incorporate with hand hoe., The insecticides acetamiprid and cypermethrin were used to manage aphids while four different insecticides controlled thrips. .,"Most of the sugarcane is grown with the help of irrigation. Belgaum, Mandya, Mysore, Bijapur,Shimoga and Chitradurga are important producing districts.",The plant is two to six metres (six to twenty feet) tall. All sugar cane species can interbreed and the major commercial cultivars are complex hybrids. ,
Sugarcane,Co94012 ,Rainfall: 100 cm to 175 cm rainfall is ideal for sugarcane production," It grows well in deep, well-drained soils of medium fertility of sandy loam soil textures with a pH range from 6.0 to 7.7.",A crop requires 1500- 2500 mm of available water per year, In general January to march is the period of planting , It takes about 12 to 18 months to mature.,"On an average 36,000 three budded setts or 60 quintal of seed are sufficient for planting one hectare land area.",The average yield of cane stalk is 60–70 tonnes per hectare,Apply P fertilizer based on soil test values. Otherwise apply super phosphate (375 kg/ha) along the furrows and incorporate with hand hoe., The insecticides acetamiprid and cypermethrin were used to manage aphids while four different insecticides controlled thrips. .,"Most of the sugarcane is grown with the help of irrigation. Belgaum, Mandya, Mysore, Bijapur,Shimoga and Chitradurga are important producing districts.",The plant is two to six metres (six to twenty feet) tall. All sugar cane species can interbreed and the major commercial cultivars are complex hybrids. ,
Sugarcane,SNK44,Rainfall: 100 cm to 175 cm rainfall is ideal for sugarcane production," It grows well in deep, well-drained soils of medium fertility of sandy loam soil textures with a pH range from 6.0 to 7.7.",A crop requires 1500- 2500 mm of available water per year, In general January to march is the period of planting , It takes about 12 to 18 months to mature.,"On an average 36,000 three budded setts or 60 quintal of seed are sufficient for planting one hectare land area.",The average yield of cane stalk is 60–70 tonnes per hectare,Apply P fertilizer based on soil test values. Otherwise apply super phosphate (375 kg/ha) along the furrows and incorporate with hand hoe., The insecticides acetamiprid and cypermethrin were used to manage aphids while four different insecticides controlled thrips. .,"Most of the sugarcane is grown with the help of irrigation. Belgaum, Mandya, Mysore, Bijapur,Shimoga and Chitradurga are important producing districts.",The plant is two to six metres (six to twenty feet) tall. All sugar cane species can interbreed and the major commercial cultivars are complex hybrids. ,
Tobacco,FCV Tobacco,For tobacco 50-100cm annual rainfall and 15-20o C temperature during growth period is ideal., Tobacco crop requires light to medium loam soil,The tobacco water requirement throughout the growth period ranged from 159.00 to 278.90 mm,The ideal months to plant tobacco are November and December,Usually matures and is ready for harvest 3 to 5 weeks after topping.,A seed rate of 3-5 kg per hectare.,"It yields on unirrigated land is usually 2,600-3,000 pound per acre",It is reported that 40-90% of the phosphorusrequirement of the plant is met with by applying fertilizer four weeks after the transplanting.,Pyrethroid of the cyano pyrethroid are used as pesticide.,Suitable zone in Karnataka are Mysuru and Hassan., There is a promising way to convert tobacco leaves into pesticides with pyrolysis.,
Tobacco,Bidi Tobacco,For tobacco 50-100cm annual rainfall and 15-20o C temperature during growth period is ideal., Tobacco crop requires light to medium loam soil,The tobacco water requirement throughout the growth period ranged from 159.00 to 278.90 mm,The ideal months to plant tobacco are November and December,Usually matures and is ready for harvest 3 to 5 weeks after topping.,A seed rate of 3-5 kg per hectare.,"It yields on unirrigated land is usually 2,600-3,000 pound per acre",It is reported that 40-90% of the phosphorusrequirement of the plant is met with by applying fertilizer four weeks after the transplanting.,Pyrethroid of the cyano pyrethroid are used as pesticide.,Suitable zone in Karnataka are Mysuru and Hassan., There is a promising way to convert tobacco leaves into pesticides with pyrolysis.,
Soyabean,Bragg,Requiring a minimum of 400mm,This soyabean is suitable for Red soil .,"Soybeans require from 15 to 25 inches of water per acre per year from planting through maturity depending on planting date, maturity group, location, and weather.",Kharif season time of sowing is onset of monsoon or last week of June to first week of Jully while in spring sowing is done between 15th of February and 15th of March. ,Soybeans for shelling and fresh use are ready for harvest 45 to 65 days after sowing.,70-80 kg seed per hectare is required.,It yeild 40.4 bushels per acre,"The critical level for phosphorus is 15 ppm and the maintenance range for soybeans is 15 ppm, so P soil test levels should be maintained between 15 and 30 ppm. ",Asana XL are used as pesticide.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"White flowers, grey pubescence, yellow seed coat, black hilum, brown pods, determinate.",
Soyabean,Hardee,Requiring a minimum of 400mm,This soyabean is suitable for Red soil .,"Soybeans require from 15 to 25 inches of water per acre per year from planting through maturity depending on planting date, maturity group, location, and weather.",Kharif season time of sowing is onset of monsoon or last week of June to first week of Jully while in spring sowing is done between 15th of February and 15th of March. ,Soybeans for shelling and fresh use are ready for harvest 45 to 65 days after sowing.,70-80 kg seed per hectare is required.,It yeild 40.4 bushels per acre,"The critical level for phosphorus is 15 ppm and the maintenance range for soybeans is 15 ppm, so P soil test levels should be maintained between 15 and 30 ppm. ",Asana XL are used as pesticide.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"White flowers, grey pubescence, yellow seed coat, rosy hilum, determinate and suitable for inter cropping",
Soyabean,Pelican,Requiring a minimum of 400mm,This soyabean is suitable for Red soil .,"Soybeans require from 15 to 25 inches of water per acre per year from planting through maturity depending on planting date, maturity group, location, and weather.",Kharif season time of sowing is onset of monsoon or last week of June to first week of Jully while in spring sowing is done between 15th of February and 15th of March. ,Soybeans for shelling and fresh use are ready for harvest 45 to 65 days after sowing.,70-80 kg seed per hectare is required.,It yeild 40.4 bushels per acre,"The critical level for phosphorus is 15 ppm and the maintenance range for soybeans is 15 ppm, so P soil test levels should be maintained between 15 and 30 ppm. ",Asana XL are used as pesticide.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"Purple flowers, grey pubescence, determinate yellow seed, brown hilum.",
Soyabean,KHSb-2,Requiring a minimum of 400mm,This soyabean is suitable for Red soil .,"Soybeans require from 15 to 25 inches of water per acre per year from planting through maturity depending on planting date, maturity group, location, and weather.",Kharif season time of sowing is onset of monsoon or last week of June to first week of Jully while in spring sowing is done between 15th of February and 15th of March. ,Soybeans for shelling and fresh use are ready for harvest 45 to 65 days after sowing.,70-80 kg seed per hectare is required.,It yeild 40.4 bushels per acre,"The critical level for phosphorus is 15 ppm and the maintenance range for soybeans is 15 ppm, so P soil test levels should be maintained between 15 and 30 ppm. ",Asana XL are used as pesticide.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"Purple flowers, tawny pubescence, yellow seed coat, black hilum, semi determinate",
Soyabean,Pooja,Requiring a minimum of 400mm,This soyabean is suitable for Red soil .,"Soybeans require from 15 to 25 inches of water per acre per year from planting through maturity depending on planting date, maturity group, location, and weather.",Kharif season time of sowing is onset of monsoon or last week of June to first week of Jully while in spring sowing is done between 15th of February and 15th of March. ,Soybeans for shelling and fresh use are ready for harvest 45 to 65 days after sowing.,70-80 kg seed per hectare is required.,It yeild 40.4 bushels per acre,"The critical level for phosphorus is 15 ppm and the maintenance range for soybeans is 15 ppm, so P soil test levels should be maintained between 15 and 30 ppm. ",Asana XL are used as pesticide.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"Purple flowers, grey pubescence, determinate yellow seed, brown hilum.",
Cardamom,CCS-1(Malabar),Annual rainfall (1500 - 4000 mm) is required.,This cardamom is suitable for Red soil .,A crop requires 1500- 4000 mm of available water per year,"Throughout the cropping season of cardamom, i.e. from August to March approximately 6 picking is done in each 45 days interval.",Cardamom plants normally start bearing two years after planting,Seed requirement is 30kg/h.,It registers the higher yield of 250 kgper hectare.,A fertilizer NPK dose is 240 kg /ha,Nitrobenzene is another toxic chemical that is liberally used in the flowering season.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"The seeds have a warm, slightly pungent, and highly aromatic flavour somewhat reminiscent of camphor.",
Cardamom,Mudigere-1,Annual rainfall (1500 - 4000 mm) is required.,This cardamom is suitable for Red soil .,A crop requires 1500- 4000 mm of available water per year,"Throughout the cropping season of cardamom, i.e. from August to March approximately 6 picking is done in each 45 days interval.",Cardamom plants normally start bearing two years after planting,Seed requirement is 30kg/h.,It registers the higher yield of 250 kgper hectare.,A fertilizer NPK dose is 240 kg /ha,Nitrobenzene is another toxic chemical that is liberally used in the flowering season.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"The seeds have a warm, slightly pungent, and highly aromatic flavour somewhat reminiscent of camphor.",
Cardamom,ICRI-3,Annual rainfall (1500 - 4000 mm) is required.,This cardamom is suitable for Red soil .,A crop requires 1500- 4000 mm of available water per year,"Throughout the cropping season of cardamom, i.e. from August to March approximately 6 picking is done in each 45 days interval.",Cardamom plants normally start bearing two years after planting,Seed requirement is 30kg/h.,It registers the higher yield of 250 kgper hectare.,A fertilizer NPK dose is 240 kg /ha,Nitrobenzene is another toxic chemical that is liberally used in the flowering season.,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"The seeds have a warm, slightly pungent, and highly aromatic flavour somewhat reminiscent of camphor.",
Wheat,DDK 1025 (Dicoccum),The amount of rainfall required for wheat cultivation varies between 30 cm and 100 cm.,This wheat is suitable for Red soil .,A crop requires 450-650 mm of available water per year,Sowing of wheat takes place in October to December,Maturity time is around four months.,"With an average seed size of 15,000 seeds per pound or 900,000 seeds per bushel",Yield potential of approximately 1.5 bushels per acre.,"When applying a starter fertilizer for wheat, application methods and rates are much more flexible with phosphorus than nitrogen.","Chlorothalonil, General use insecticide",Suitable zone in Karnataka are West Coast Plains and Hills Region.,Wheat is actually a grass and belongs to the genus Triticum species aestivum. Wheat is grown globally and is the second most important cereal crop in the world behind maize and ahead of rice.,
Wheat,GW 322,The amount of rainfall required for wheat cultivation varies between 30 cm and 100 cm.,This wheat is suitable for Red soil .,A crop requires 450-650 mm of available water per year,Sowing of wheat takes place in October to December,Maturity time is around four months.,"With an average seed size of 15,000 seeds per pound or 900,000 seeds per bushel",Yield potential of approximately 1.5 bushels per acre.,"When applying a starter fertilizer for wheat, application methods and rates are much more flexible with phosphorus than nitrogen.","Chlorothalonil, General use insecticide",Suitable zone in Karnataka are West Coast Plains and Hills Region.,Wheat is actually a grass and belongs to the genus Triticum species aestivum. Wheat is grown globally and is the second most important cereal crop in the world behind maize and ahead of rice.,
Wheat,HD 2781 (Aditya),The amount of rainfall required for wheat cultivation varies between 30 cm and 100 cm.,This wheat is suitable for Red soil .,A crop requires 450-650 mm of available water per year,Sowing of wheat takes place in October to December,Maturity time is around four months.,"With an average seed size of 15,000 seeds per pound or 900,000 seeds per bushel",Yield potential of approximately 1.5 bushels per acre.,"When applying a starter fertilizer for wheat, application methods and rates are much more flexible with phosphorus than nitrogen.","Chlorothalonil, General use insecticide",Suitable zone in Karnataka are West Coast Plains and Hills Region.,Wheat is actually a grass and belongs to the genus Triticum species aestivum. Wheat is grown globally and is the second most important cereal crop in the world behind maize and ahead of rice.,
Wheat,HD 2833 (Tripti),The amount of rainfall required for wheat cultivation varies between 30 cm and 100 cm.,This wheat is suitable for Red soil .,A crop requires 450-650 mm of available water per year,Sowing of wheat takes place in October to December,Maturity time is around four months.,"With an average seed size of 15,000 seeds per pound or 900,000 seeds per bushel",Yield potential of approximately 1.5 bushels per acre.,"When applying a starter fertilizer for wheat, application methods and rates are much more flexible with phosphorus than nitrogen.","Chlorothalonil, General use insecticide",Suitable zone in Karnataka are West Coast Plains and Hills Region.,Wheat is actually a grass and belongs to the genus Triticum species aestivum. Wheat is grown globally and is the second most important cereal crop in the world behind maize and ahead of rice.,
Wheat,HUW 510,The amount of rainfall required for wheat cultivation varies between 30 cm and 100 cm.,This wheat is suitable for Red soil .,A crop requires 450-650 mm of available water per year,Sowing of wheat takes place in October to December,Maturity time is around four months.,"With an average seed size of 15,000 seeds per pound or 900,000 seeds per bushel",Yield potential of approximately 1.5 bushels per acre.,"When applying a starter fertilizer for wheat, application methods and rates are much more flexible with phosphorus than nitrogen.","Chlorothalonil, General use insecticide",Suitable zone in Karnataka are West Coast Plains and Hills Region.,Wheat is actually a grass and belongs to the genus Triticum species aestivum. Wheat is grown globally and is the second most important cereal crop in the world behind maize and ahead of rice.,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,, ,,
